error,correction,residual
IIIIXIZ,IIIIIXY,IIIIXXX
IIIIYIX,IIIIIYZ,IIIIYYY
IIIIYIY,IIIIIYI,IIIIYYY
IIIIYIZ,IIIIIYX,IIIIYYY
IIIIZIX,IIIIIZY,IIIIZZZ
IIIIZIY,IIIIIZX,IIIIZZZ
IIIIZIZ,IIIIIZI,IIIIZZZ
IIIIIXX,IIIIXII,IIIIXXX
IIIIIYY,IIIIYII,IIIIYYY
IIIIIZZ,IIIIZII,IIIIZZZ
